title,type,lat,lng,fullDetails,status,address,client,cost,folder
RIDDHI SIDDHI APARTMENTS,RESIDENTIAL BUILDING,19.0538,73.10303,STILT + 4 STORIED RESIDENTIAL BUILDING,COMPLETED,"NAWDA, NAVI MUMBAI, MAHARASHTRA, INDIA",M/S. SHREE SIDDHIVINAYAK ENTERPRISES,,
RIDDHI SIDDHI COMPLEX,RESIDENTIAL BUILDING,18.9907,73.117,STILT + 4 STORIED - 9 WINGS RESIDENTIAL BUILDINGS,COMPLETED,"PALASPA PHATA, PANVEL, DISTRICT - RAIGAD, MAHARASHTRA, INDIA.",M/S. SHREE SIDDHIVINAYAK ENTERPRISES,,
GLOBAL PARADISE,RESIDENTIAL BUILDING,18.9907,73.117,STILT +7 RESIDENTIAL BUILDING,COMPLETED,"SECTOR 14, TALOJA, PANVEL, DISTRICT - RAIGAD, MAHARASHTRA, INDIA.",M/S. GLOBAL ENTERPRISES,,
RESIDENTIAL BUILDING,RESIDENTIAL BUILDING,16.9938,73.3143,GROUND + 4 STORIED RESIDENTIAL BUILDING,COMPLETED,"RATNAGIRI, MAHARASHTRA, INDIA.",M/S. SHREE SIDDHIVINAYAK ENTERPRISES,,
UNDERGROUND WATER TANK,RETAIL,19.27,73.065353,UNDER GROUND WATER TANK / PUMP ROOM & OTHER MISCELLANEOUS WORKS AT D-MART.,COMPLETED,"D-MART, BHIWANDI, MAHARASHTRA, INDIA. ",AVENUE SUPERMARTS LTD. (DMART),,
SAI RAJ PARADISE,RESIDENTIAL BUILDING,19.053846,73.10303,STILT + 7 STORIED - 2 WINGS RESIDENTIAL BUILDINGS,COMPLETED,"NAWDA, NAVI MUMBAI, MAHARASHTRA, INDIA. (RESIDENTIAL)",M/S SAI RAJ ENTERPRISES,,
B-GREEN TERRACE,RESIDENTIAL BUILDING,26.8467,80.9462,GROUND + 3 STORIED RESIDENTIAL BUILDING,COMPLETED,"LUCKNOW, UTTAR PRADESH, INDIA.",M/S. B - GREEN PVT. LTD.,,
BUNGALOW,RESIDENTIAL BUILDING,19.4698,72.8228,G+1 STORIED BUNGLOW,COMPLETED,"VIRAR (EAST), THANE, MAHARSHTRA, INDIA. ","MR. SANDEEP MEHTA, KANDIVALI (EAST), MUMBAI, MAHARAHSTRA.",,maharashtra/mmr/virar
RESIDENTIAL BUILDING,RESIDENTIAL BUILDING,18.9,73.2,"SHREE SWAMI SAMARTH DEVELOPERS, GROUND + 1 STORIED RESIDENTIAL BUILDING",COMPLETED,"BHIVPURI ROAD, KARJAT,  DISTRICT : RAIGAD, MAHARASHTRA, INDIA.","M/S KHALIDKAR & KADAM, KARJAT, DIST. RAIGAD, MAHARASHTRA.",,
SUNRISE RESIDENCY,RESIDENTIAL BUILDING,18.9766,73.2906,"GROUND + 3 STORIED, 30 RESIDENTIAL BUILDINGS",COMPLETED,"NERAL, KARJAT,  DISTRICT : RAIGAD, MAHARASHTRA, INDIA.",M/S. RAJNIR ENTERPRISES PVT. LTD.,,
